FDA,(Multiple Items),,,,,,
,,,,,,,
Sum of Total_Amount_of_Payment_USDollars,,,,,,,
Row Labels,Total,,overall,fda investment,fda,,0.097493711
8/1/14,273430.66,7/15/14,347120.02,245105.86,0.0,,
8/2/14,80,7/16/14,832098.45,370171.04,0.0,,
8/4/14,36557.51,7/17/14,1479738.43,1267455.66,0.0,,
8/5/14,102143.2,7/18/14,280462.61,148073.13,2.6,,
8/6/14,37296.15,7/19/14,1867,150,2.6,,
8/7/14,123589.26,7/20/14,3411.99,575,2.8,,
8/8/14,397051.43,7/21/14,2258866.45,1791249.24,0.0,,
8/11/14,134022.74,7/22/14,406553.46,214895.61,2.6,,
8/12/14,186630.84,7/23/14,404407.9,235024.55,2.2,,
8/13/14,262066.05,7/24/14,470128.04,226893.98,3.4,,
8/14/14,478824.76,7/25/14,547960.51,148633.94,3.2,,
8/15/14,189003,7/26/14,83468,0,0.0,,
8/18/14,270369.65,7/27/14,3433.5,3335.4,3.8,,
8/19/14,393037.06,7/28/14,626580.11,364107.55,4.4,,
8/20/14,220918.59,7/29/14,270682.49,173506.84,2.6,,
8/21/14,157633.02,7/30/14,974569.37,470226.38,2.8,,
8/22/14,144418.81,7/31/14,552155.37,181949.15,0.0,,
8/23/14,90,8/1/14,1764685.3,273430.66,0.0,,
8/25/14,264031.82,8/2/14,80,80,0.0,,
8/26/14,256491.98,8/4/14,584677.67,36557.51,2.6,,
8/27/14,97984.58,8/5/14,540213.24,102143.2,2.4,,
8/28/14,101274.9,8/6/14,260408.4,37296.15,2.8,,
8/29/14,144254.3,8/7/14,289692.11,123589.26,0.0,,
8/31/14,18335,8/8/14,687573,397051.43,3.6,,
9/1/14,78920.34,8/9/14,22861.39,0,4.0,,
9/2/14,222181.62,8/11/14,464640.17,134022.74,4.0,,
9/3/14,88574.16,8/12/14,274835.68,186630.84,3.8,,
9/4/14,285782.86,8/13/14,622119.68,262066.05,2.8,,
9/5/14,178997.47,8/14/14,944523.92,478824.76,0.0,,
9/8/14,306602.53,8/15/14,371128.07,189003,0.0,,
9/9/14,673292.48,8/16/14,43500,0,1.6,,
9/10/14,152674.56,8/18/14,949283.11,270369.65,1.4,,
9/11/14,575647.4,8/19/14,631871.49,393037.06,1.4,,
9/12/14,83748.49,8/20/14,436057.69,220918.59,0.0,,
9/13/14,5264.6,8/21/14,702392.7,157633.02,0.0,,
9/14/14,4274.85,8/22/14,392196.93,144418.81,1.4,,
9/15/14,222024.72,8/23/14,411.83,90,2.2,,
9/16/14,132066.15,8/25/14,808790.8,264031.82,3.8,,
9/17/14,88929.78,8/26/14,504227.4,256491.98,4.2,,
9/18/14,415910,8/27/14,318556.14,97984.58,4.0,,
9/19/14,86255.25,8/28/14,535249.86,101274.9,4.4,,
9/20/14,162.81,8/29/14,224495.16,144254.3,0.0,,
9/21/14,3794.31,8/31/14,22411,18335,0.0,,
9/22/14,240598.88,9/1/14,197380.34,78920.34,0.0,,
9/23/14,514710.72,9/2/14,606014.42,222181.62,0.0,,
9/24/14,839651.77,9/3/14,300627.21,88574.16,3.8,,
9/25/14,271022.4,9/4/14,597267.68,285782.86,2.4,,
9/26/14,116799.39,9/5/14,1364034.02,178997.47,0.0,,
9/27/14,420,9/8/14,1259116.82,306602.53,0.0,,
9/29/14,109187.28,9/9/14,967619.89,673292.48,4.6,,
9/30/14,285126.89,9/10/14,577742.76,152674.56,4.4,,
10/1/14,70980.9,9/11/14,827110.17,575647.4,0.0,,
